Date,SentimentScore,Sentiment,Review,SentimentNum
1/24/2018,0.5265306122448979,Positive,"I think I've finally found THE best place in OC to get my hair cut!  Finally!  Awesome cut, awesome experience. Normally it takes going to a hair stylist for a while to get it right-- nailed it on my first visit.",0
10/14/2017,0.324125,Positive,I've been a client with Yelena for almost 12 years and can't imagine going to anyone else.  She's great at what she does and is very professional.  She's busy and I highly recommend booking appointments in advance.  It's what I do!  Thanks Yelena!!!,0
9/9/2017,0.328021978021978,Positive,"A-M-A-Z-I-N-GThis place is simply amazing, Yelena is incredible talented, passionate about her business and an incredible human being. I discovered Yelena last year and since then I don't let anybody to cut my hair. She gives an ultimate upscale 5 stars attention to her clients from the moment you walk in to the moment you leave. She's simple a ROCK STAR!!!!!!!!!!! she's smart and her skills are out of this world. I always say: Once Yelena, you can't leave her. If I could give her more than 5 stars I would totally do it. She deserves more than that.",0
3/3/2017,0.45061688311688314,Positive,"I've been in Orange County for 7 years now and I've never gotten better service from anyone in the whole county.The first time Yelena saw me, she asked me about how I wanted to present myself to the people who are going to care about how I look (by way of conversation).  When I came out of there, I got compliments from everyone at work, at home, from my family, etc.The best part about it is that I never had to tell her how I wanted things.  She suggests what she knows will look good and I just say yes or no.  I knew right away she is a master craftswoman.I've been going to Yelena ever since and I refuse to see anyone else.  I'm so happy she struck out on her own.  Her new place is swanky!",0
3/3/2017,0.36,Positive,"Yelena has my complete trust when styling my hair. I have been going to her for several years now and have always received great haircuts from her.She is the 'hair whisperer' as her knowledge of all things hair is truly incredible. She also helps with hair loss issues, color, etc.And, the ear and nose waxing is a must.Yelena sets the standard that all stylists should aim for. She gets a 10+ from me.",0
4/10/2017,0.37023809523809526,Positive,"Like many others I discovered Yelena at her previous salon years ago.  It's a testament to her skill and personality that virtually all of her appointments were from regular customers and not walk-ins.  She has passion for what she does and it comes through in the personal attention she gives her clients.  I am so happy for her that she made the leap of faith to open her own space, and did such a great job of making it a well decorated and comfortable place.  I love the way my hair looks when she works her magic, she knows exactly how to make it look it's best. I wouldn't go anywhere else.",0
2/7/2017,0.47,Positive,Yelena is awesome!!!!!!! Such a great master at her craft. I would highly recommend her. I walk out of that seat so happy every time. Her place has such an awesome man cave feeling. Definitely a lifetime customer.,0
2/12/2017,0.29095238095238096,Positive,"Yelena doesn't just cut hair, she treats everyone's hair like a piece of art. She takes her time asking your preferences while listening very carefully, and then follows through with surgical precision. She uses the best equipment and highest end products. Her barber chair is hand made with the finest leather and stitching, not your typical basic vinyl chair that you can't wait to get out of. You will sink into comfort and luxury while enjoying the best half hour of your day. Go treat yourself, you will see the  difference immediately.",0
11/4/2017,0.10208333333333332,Positive,"Yelena is all heart and skill, a true professional. If you'd like to be treated like a person and not a number, this is the place to go. Yelena will style your hair the way you want, and you won't get the hard sell on product. She creates an environment that is relaxing and truly first class. She loves what she does and it shows.",0
4/5/2017,0.3933333333333333,Positive,"I've been going to Yelena for years and she's one of the best in the business. She is very, very good at what she does. No kidding: I had a professional hair & make-up artist comment on my hair cut recently and point out how well it was done. She's a first class professional.",0
5/23/2017,0.5,Positive,"Best hair cut you can get! Professional, attentive and personalized service. Once you give Yalena a chance you will not need another stylist again.",0
6/17/2017,0.5397777777777778,Positive,"I have been one of Yelena's clients for over 5 years. I am happy every time. Yelena takes the time to understand what look I'm going for and comfortable with. She offers great suggestions. Also, she is reliable and on schedule, as well as a great person with a fantastic sense of humor. I very highly recommend if you want to look your best and work with a true pro.",0
2/22/2017,0.17878787878787875,Positive,"I have been going to Yelena for years and her new salon is awesome, she's a master when it comes to cutting your hair and customer service.",0
2/19/2017,0.48138528138528136,Positive,Yelena is the best! I love the new location. Super comfortable and welcoming environment. Yelena always makes me feel so at ease while she cuts my hair. I've trusted Yelena for years now and will continue to do so for many more.,0
