,BusinessName,BusinessCategory,YelpRating,ReviewCount,PriceRange($),PriceCategory,Address,Phone,Website
0,Newport Barber,Barbers,5.0 star rating,34 reviews,$$,Moderate,"3533 East Coast HwyCorona Del Mar, CA 92625",(949) 877-0040,Newportbarber.com
1,Coast Barber Shop,Barbers,4.0 star rating,23 reviews,$,Inexpensive,"333 Marigold AveCorona Del Mar, CA 92625",(949) 675-7033,no website
2,Newport Beach Barber Shop,Barbers,5.0 star rating,2 reviews,unknown,unkown,"1367 Avocado AveNewport Beach, CA 92660",(949) 644-9143,no website
3,Stonecreek Plaza Barber Shop,Barbers,5.0 star rating,137 reviews,$,Inexpensive,Located inStonecreek Plaza,(949) 786-6404,stonecreekplazabarbershop.com
4,Brixton Barbers,"Men's Hair Salons,
                    Barbers",5.0 star rating,3 reviews,unknown,unkown,"3326 E Coast HwyNewport Beach, CA 92625",(949) 723-0037,thestrandlondon.com
5,Ronin Barber Shop,Barbers,5.0 star rating,73 reviews,$,Inexpensive,"1834 Newport BlvdSte A & BCosta Mesa, CA 92627",(714) 450-0999,roninbarber.com
6,True Blue Barber Shop,Barbers,4.5 star rating,113 reviews,$$,Moderate,"2675 Irvine AveSte ECosta Mesa, CA 92627",(949) 975-9103,no website
7,Logan Bros Shaving,"Barbers,
                    Cosmetics & Beauty Supply",4.5 star rating,43 reviews,$$,Moderate,"1103 S Coast HwyLaguna Beach, CA 92651",(949) 541-1064,loganbros.com
8,Mobile Hair by Jon-Paul,"Hair Stylists,
                    Blow Dry/Out Services,
                    Hair Extensions",5.0 star rating,45 reviews,$$,Moderate,Serving Newport Coast and surrounding area,(949) 415-4247,mobilehairbyjonpaul.com
9,Hair Design By Kevin,"Hair Stylists,
                    Barbers",4.5 star rating,21 reviews,$,Inexpensive,"4199 Campus DrSte 8100Interfashion Hair SalonIrvine, CA 92612",(714) 383-0029,no website
